p_id,p_name,p_brand,p_description,p_img_url,p_cost,p_quantity
57,"Wonder Nation Baby and Toddler Ankle and Crew Socks, 20-Pack, Sizes 0M-5T",Wonder Nation,"Wonder Nation Baby and Toddler Ankle and Crew Socks, 20-Pack, Sizes 0M-5T",https://i5.walmartimages.com/asr/e5271ab3-f9dd-4d2b-84b7-3c363384bc45_1.24d0baa9bde32d01b1360be84820cc41.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,13.98,17
58,"Mad Dog Boys Fleece Pajama Sleep Pants, 2-Pack, Sizes 6-16",Mad Dog,"Mad Dog Boys Fleece Pajama Sleep Pants, 2-Pack, Sizes 6-16",https://i5.walmartimages.com/asr/600cf3a7-35cd-471b-a5b2-666722e2916f.e9d76bfe5041256b50c4fc5dc23f2624.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,8,12
59,"Championship Gold Boys Underwear, 10 Pack Boxer Briefs Sizes 4-18 & Husky",ChampionShip Gold,"Championship Gold Boys Boxer Briefs Underwear, 10-Pack, Sizes 4-18 & Husky",https://i5.walmartimages.com/asr/3a71f899-b37f-40f2-8e17-2d65d3ba5f32.d9b44a6deb60521767a4c2f07a95c6bd.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,16.98,11
60,"SWIMFIX Boys Print Swim Trunks, Sizes 4-18",SWIMFIX,"SWIMFIX Boys Print Swim Trunks, Sizes 4-18",https://i5.walmartimages.com/asr/670300b9-1055-45e4-aac0-28febdc4a2b2.446a20ed4b92b6fcec9083c1f3bfa863.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,12.98,18
61,"Fruit of the Loom Boys Underwear, 10 Pack Assorted Fashion Briefs, Sizes S-XL",Fruit of the Loom,"Fruit of the Loom Boys Underwear, Assorted Fashion Briefs, 10 Pack, Sizes 6 - 20",https://i5.walmartimages.com/asr/54724fe9-96ca-4865-b8d1-71698bb53c27.07a13a260660ea6ab43433f5bdce1f1e.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,16.99,13
62,PatPat Easter Mosaic Family Matching mommy and me Lemon Series Tank Dresses - Rompers - Tops\uff08Women\uff06Men\uff06baby\uff06Girls\uff06kids\uff09,PatPat,PatPat Mosaic Family Matching Lemon Series Tank Dresses - Rompers - TopsWomenMenbabyGirlskids,https://i5.walmartimages.com/asr/3109e6f1-d2f7-434c-b24a-93d0919355e9.033d6c3d681277ad44d360cf739b470a.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,12.99,35
63,"365 Kids From Garanimals Boys Explorer Kid-Pack Gift-Box, 6-Piece Outfit Set, Sizes 4-10",365 Kids From Garanimals,"365 Kids From Garanimals Boys Explorer Kid-Pack Gift-Box, 6-Piece Outfit Set, Sizes 4-10",https://i5.walmartimages.com/asr/e66f3061-45af-4b98-9ff3-ec253ced1579.51c93f5ebee98914828dd4e4b1333a86.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,38.88,17
64,"Free Assembly Boys Graphic Print Coaches Jacket, Sizes 4-18",Free Assembly,"Free Assembly Boys Graphic Print Coaches Jacket, Sizes 4-18",https://i5.walmartimages.com/asr/d074ae21-3425-42ee-a93c-a9e3a6867e5b.a35004da01333f2b645ee43379717110.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,19,35
65,"Wonder Nation Boys Slim Knit Denim Jeans, 2-Pack, Sizes 4-18 & Husky",Wonder Nation,"Wonder Nation Boys Slim Knit Denim Jeans, 2-Pack, Sizes 4-18 & Husky",https://i5.walmartimages.com/asr/47e84898-b15d-4756-9fcc-928ae702d1ae.75a5defd409453e1fdee0ace806c88e9.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,23,34
66,Alimens & Gentle Mens Long Sleeve Red Plaid Flannel Shirts Casual Button Down Regular Fit,Alimens & Gentle,Alimens & Gentle Mens Long Sleeve Red Plaid Flannel Shirts Casual Button Down Regular Fit,https://i5.walmartimages.com/asr/be3bd502-4095-42d7-9d98-8b21fa7e6642.bf615fe4803af4c1f96c8d131689fdb9.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,16.99,18
67,"Russell Boys Solid Active Shorts, 2-Pack, Sizes 4-18 & Husky",Russell,"Russell Boys Solid Shorts, 2-Pack, Sizes 4-18 & Husky",https://i5.walmartimages.com/asr/a8e2c413-ac68-438f-a3cb-95f5d42813bf.7516bc9fcac7562cadd8296ba6f8d274.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,14.9,25
